bucket_min,symbol,option_type,aggression_regime,distance_bucket,premium_bucket,n,touch_pct,median_minutes_to_touch,median_mfe_bps,median_mae_bps,median_end_ret_bps
5,SPXW,put,sell_dom,0.3-0.5%,$100-500k,528,12.121212121212121,55.0,13.198853969573975,15.85134506225586,-5.73966121673584
5,SPXW,put,sell_dom,0.3-0.5%,$25-100k,267,4.49438202247191,31.5,8.007888793945312,14.722875595092773,-8.887744903564453
5,SPXW,put,sell_dom,0.3-0.5%,$5-25k,173,2.8901734104046244,11.0,4.175464630126953,13.874888896942139,-10.944150924682617
5,SPXW,put,sell_dom,0.3-0.5%,$500k-2.5M,185,25.945945945945947,55.5,15.08403205871582,22.60222053527832,-9.3046293258667
5,SPXW,put,sell_dom,0.5-1%,$1-5k,444,0.22522522522522523,6.0,5.280303239822388,14.851445198059082,-10.415951251983643
5,SPXW,put,sell_dom,0.5-1%,$100-500k,741,2.968960863697706,59.5,13.024901390075684,22.60222053527832,-11.850072860717773
5,SPXW,put,sell_dom,0.5-1%,$25-100k,849,0.0,,13.673609733581543,15.915519714355469,-6.208173751831055
5,SPXW,put,sell_dom,0.5-1%,$5-25k,792,0.3787878787878788,22.0,11.507291316986084,14.268409729003906,-6.43412446975708
5,SPXW,put,sell_dom,0.5-1%,$500k-2.5M,58,0.0,,13.16911506652832,26.157913208007812,-10.072199821472168
5,SPXW,put,sell_dom,1-1.5%,$1-5k,810,0.0,,12.757083892822266,14.824122428894043,-5.815884113311768
5,SPXW,put,sell_dom,1-1.5%,$100-500k,114,0.0,,13.399606227874756,28.954797744750977,-16.958541870117188
5,SPXW,put,sell_dom,1-1.5%,$25-100k,492,0.0,,11.331258773803711,23.889934539794922,-12.81885814666748
5,SPXW,put,sell_dom,1-1.5%,$5-25k,941,0.0,,13.142627716064453,16.11542510986328,-7.509510517120361
5,SPXW,put,sell_dom,1.5-2%,$1-5k,938,0.0,,12.294407844543457,16.035560607910156,-7.993011474609375
5,SPXW,put,sell_dom,1.5-2%,$25-100k,134,0.0,,13.101576328277588,26.157913208007812,-12.609273910522461
5,SPXW,put,sell_dom,1.5-2%,$5-25k,540,0.0,,11.27480697631836,23.04425621032715,-12.821646690368652
5,SPXW,put,sell_dom,2-3%,$1-5k,1047,0.0,,11.331258773803711,22.06307601928711,-12.0655517578125
5,SPXW,put,sell_dom,2-3%,$25-100k,27,0.0,,11.218355178833008,24.988252639770508,-10.072199821472168
5,SPXW,put,sell_dom,2-3%,$5-25k,293,0.0,,10.089346885681152,29.511018753051758,-22.047252655029297
5,SPXW,put,sell_dom,3%+,$1-5k,353,0.0,,10.030173301696777,24.684846878051758,-14.47044563293457
5,SPXW,put,sell_dom,3%+,$5-25k,35,0.0,,7.226205825805664,33.48561096191406,-30.582643508911133
5,SPY,call,buy_dom,0.3-0.5%,$1-5k,23,4.3478260869565215,4.0,13.9346923828125,8.150191307067871,7.741400241851807
5,SPY,call,buy_dom,0.3-0.5%,$100-500k,49,18.367346938775512,55.0,17.9918212890625,13.89798355102539,9.428698539733887
5,SPY,call,buy_dom,0.3-0.5%,$25-100k,88,7.954545454545454,70.0,13.412498950958252,13.518821716308594,3.9324172735214233
5,SPY,call,buy_dom,0.3-0.5%,$5-25k,63,9.523809523809524,87.5,12.645925521850586,10.442949295043945,6.776798248291016
